COMMUNITY,MOVEMENT_GROUP,FAN_ID,PRIMARY_MERCHANT,SECONDARY_MERCHANT,DAY_DATE,WINS,LOSSES,NET,PRIMARY_SPEND,SECONDARY_SPEND
NBA,Video Streaming,703da9732ce9dd587fe51c4abcdc2403,dazn,_none_,2024-04-20,1,0,1,45.370000000,
MLB,Video Streaming,d9e92214aee347e8701b7441ea5014d4,netflix,_none_,2023-11-13,1,0,1,22.600000000,
NBA,Video Streaming,74ab795267e058acfa733e2aa087c6c0,_none_,paramount+,2024-07-30,1,0,1,,5.521428571
NBA,Video Streaming,9c88258ed8eba9720af7a518308dd060,hulu,_none_,2024-04-13,0,1,-1,14.662413793,
NHL,Video Streaming,7bf0c64d68f6c5470a0ca56c3256d8e6,peacock_tv,_none_,2024-01-13,1,0,1,7.557142857,
NBA,Video Streaming,72e4f9a90faee260fffeaae0b7a9f003,_none_,netflix,2023-11-24,1,0,1,,15.045000000
MLB,Video Streaming,639ca97c3b2fc5266fbe6b8ba87cf594,hulu,peacock_tv,2024-05-13,0,1,-1,21.168000000,7.730000000
NBA,Video Streaming,85be2a5fcb1790c7521fc9ca144d421a,hulu,_none_,2024-10-05,0,1,-1,63.293750000,
NFL,Video Streaming,789c67d7712ad42cf9e6ea4a2334ef3a,_none_,peacock_tv,2024-09-04,1,0,1,,8.168750000
MLB,Video Streaming,6682df221886469100f56e1102bf17ef,_none_,peacock_tv,2023-12-16,1,0,1,,5.786666667
MLB,Video Streaming,5da34d7f4142b9b4a23ec9edda35b49f,hbo_max,_none_,2023-10-15,0,1,-1,15.262058824,
NFL,Video Streaming,2048c7b2ac972dd6081d1647664d3187,_none_,disney_plus,2024-06-19,0,1,-1,,20.986666667
MLB,Video Streaming,cf5337502b55a864f1cdeb76e2806ad9,_none_,mlb_tv,2024-07-04,1,0,1,,4.077692308
MLS,Video Streaming,1e416ea0f72617df1ac0b352780fb839,_none_,youtube_tv,2024-09-26,1,0,1,,79.821200000
NBA,Video Streaming,cdab0bc646bb6ac342d2679076e8a542,netflix,_none_,2024-03-17,0,1,-1,22.539166667,
MLB,Video Streaming,e48c08e1bc3372a139d5e9f3b1dca53f,_none_,netflix,2023-10-07,1,0,1,,19.913529412
WNBA,Video Streaming,60f0951f186ea4a215970f200bc32019,_none_,netflix,2024-08-27,0,1,-1,,23.420000000
MLB,Video Streaming,efb0c38272969ccb99202f7c4821debb,_none_,hulu,2024-05-26,1,0,1,,11.120000000
NBA,Video Streaming,f76277ef5a0d1b237d50cb2f4c7d0478,_none_,disney_plus,2023-12-21,0,1,-1,,13.860000000
NFL,Video Streaming,f4012b28619aba3bedea009477a0f26d,_none_,netflix,2023-11-20,1,0,1,,20.355000000
NBA,Video Streaming,8e9de41249384010696325e5e85b89aa,roku,_none_,2024-03-28,1,0,1,9.507500000,
NFL,Video Streaming,08020c20b8c2c831b7999c5b7d822cf9,_none_,hulu,2023-10-21,1,0,1,,7.340000000
NFL,Video Streaming,4255d732a69bd5339dde7e7c34fbc1fb,hulu,_none_,2023-12-22,0,1,-1,3.133333333,
NBA,Video Streaming,b797af655286dec6e8fafb254bc08bc9,_none_,netflix,2023-10-25,0,1,-1,,23.231764706
NBA,Video Streaming,88f01699eb1688e76676e5fd977b77bf,_none_,hbo_max,2023-10-15,0,1,-1,,20.245000000
MLB,Video Streaming,4dae5f114c9b7366c1b66e39da597f62,_none_,peacock_tv,2024-05-05,0,1,-1,,7.396666667
NBA,Video Streaming,a971661b04e7b103e3d50295ba945423,espn+,disney_plus,2024-05-10,0,1,-1,10.233529412,11.058571429
NFL,Video Streaming,8327e9f63ee9adcff8b0bf134caa3a7a,netflix,_none_,2024-07-02,1,0,1,23.990000000,
